Enter the principal amount (P): 500
Enter the daily interest rate (in %): 2
Enter the number of years: 1
Enter the number of months: 0
Enter the number of days: 0
Enter the daily reinvestment rate (as % of interest earned, e.g., 100 for 100%): 100

Daily Compounding Details:
Day 81 :2486.4736
Day 82 :2536.2031
Day 83 :2586.9272
Day 84 :2638.6658
Day 85 :2691.439
Day 86 :2745.2678
Day 87 :2800.173
Day 88 :2856.1765
Day 89 :2913.3
Day 90 :2971.5662
Day 91 :3030.9976
Day 92 :3091.6174
Day 93 :3153.4497
Day 94 :3216.5188
Day 95 :3280.849
Day 96 :3346.466
Day 97 :3413.3955
Day 98 :3481.6633
Day 99 :3551.2966
Day 100 :3622.3225
Day 101 :3694.769
Day 102 :3768.6643
Day 103 :3844.0376
Day 104 :3920.9185
Day 105 :3999.337
Day 106 :4079.3237
Day 107 :4160.91
Day 108 :4244.1284
Day 109 :4329.0107
Day 110 :4415.591
Day 111 :4503.903
Day 112 :4593.981
Day 113 :4685.8604
Day 114 :4779.5776
Day 115 :4875.169
Day 116 :4972.6724
Day 117 :5072.126
Day 118 :5173.5684
Day 119 :5277.0396
Day 120 :5382.5806
Day 121 :5490.2324
Day 122 :5600.037
Day 123 :5712.038
Day 124 :5826.279
Day 125 :5942.804
Day 126 :6061.66
Day 127 :6182.8936
Day 128 :6306.5513
Day 129 :6432.682
Day 130 :6561.336
Day 131 :6692.5625
Day 132 :6826.4136
Day 133 :6962.942
Day 134 :7102.2007
Day 135 :7244.2446
Day 136 :7389.1294
Day 137 :7536.912
Day 138 :7687.6504
Day 139 :7841.4033
Day 140 :7998.2314
Day 141 :8158.1963
Day 142 :8321.36
Day 143 :8487.787
Day 144 :8657.543
Day 145 :8830.693
Day 146 :9007.308
Day 147 :9187.454
Day 148 :9371.203
Day 149 :9558.627
Day 150 :9749.8
Day 151 :9944.796
Day 152 :10143.691
Day 153 :10346.565
Day 154 :10553.497
Day 155 :10764.567
Day 156 :10979.858
Day 157 :11199.455
Day 158 :11423.444
Day 159 :11651.913
Day 160 :11884.951
Day 161 :12122.65
Day 162 :12365.104
Day 163 :12612.405
Day 164 :12864.653
Day 165 :13121.946
Day 166 :13384.385
Day 167 :13652.072
Day 168 :13925.113
Day 169 :14203.615
Day 170 :14487.6875
Day 171 :14777.441
Day 172 :15072.99
Day 173 :15374.45
Day 174 :15681.939
Day 175 :15995.578
Day 176 :16315.489
Day 177 :16641.799
Day 178 :16974.635
Day 179 :17314.127
Day 180 :17660.41
Day 181 :18013.62
Day 182 :18373.89
Day 183 :18741.37
Day 184 :19116.197
Day 185 :19498.521
Day 186 :19888.492
Day 187 :20286.262
Day 188 :20691.986
Day 189 :21105.826
Day 190 :21527.943
Day 191 :21958.502
Day 192 :22397.672
Day 193 :22845.625
Day 194 :23302.537
Day 195 :23768.588
Day 196 :24243.959
Day 197 :24728.838
Day 198 :25223.414
Day 199 :25727.883
Day 200 :26242.441
Day 201 :26767.291
Day 202 :27302.637
Day 203 :27848.69
Day 204 :28405.664
Day 205 :28973.777
Day 206 :29553.252
Day 207 :30144.316
Day 208 :30747.203
Day 209 :31362.146
Day 210 :31989.389
Day 211 :32629.176
Day 212 :33281.758
Day 213 :33947.395
Day 214 :34626.344
Day 215 :35318.87
Day 216 :36025.25
Day 217 :36745.754
Day 218 :37480.668
Day 219 :38230.28
Day 220 :38994.887
Day 221 :39774.785
Day 222 :40570.28
Day 223 :41381.688
Day 224 :42209.32
Day 225 :43053.508
Day 226 :43914.58
Day 227 :44792.87
Day 228 :45688.727
Day 229 :46602.5
Day 230 :47534.55
Day 231 :48485.242
Day 232 :49454.945
Day 233 :50444.043
Day 234 :51452.92
Day 235 :52481.98
Day 236 :53531.62
Day 237 :54602.254
Day 238 :55694.3
Day 239 :56808.188
Day 240 :57944.35
Day 241 :59103.24
Day 242 :60285.305
Day 243 :61491.01
Day 244 :62720.832
Day 245 :63975.25
Day 246 :65254.754
Day 247 :66559.85
Day 248 :67891.05
Day 249 :69248.87
Day 250 :70633.84
Day 251 :72046.52
Day 252 :73487.45
Day 253 :74957.2
Day 254 :76456.34
Day 255 :77985.47
Day 256 :79545.18
Day 257 :81136.086
Day 258 :82758.805
Day 259 :84413.984
Day 260 :86102.266
Day 261 :87824.31
Day 262 :89580.8
Day 263 :91372.414
Day 264 :93199.86
Day 265 :95063.86
Day 266 :96965.13
Day 267 :98904.44
Day 268 :100882.52
Day 269 :102900.17
Day 270 :104958.17
Day 271 :107057.336
Day 272 :109198.484
Day 273 :111382.45
Day 274 :113610.1
Day 275 :115882.305
Day 276 :118199.95
Day 277 :120563.95
Day 278 :122975.234
Day 279 :125434.74
Day 280 :127943.44
Day 281 :130502.305
Day 282 :133112.34
Day 283 :135774.6
Day 284 :138490.08
Day 285 :141259.88
Day 286 :144085.08
Day 287 :146966.78
Day 288 :149906.11
Day 289 :152904.23
Day 290 :155962.31
Day 291 :159081.56
Day 292 :162263.19
Day 293 :165508.45
Day 294 :168818.62
Day 295 :172195.0
Day 296 :175638.9
Day 297 :179151.69
Day 298 :182734.72
Day 299 :186389.4
Day 300 :190117.19
Day 301 :193919.53
Day 302 :197797.92
Day 303 :201753.88
Day 304 :205788.95
Day 305 :209904.73
Day 306 :214102.83
Day 307 :218384.89
Day 308 :222752.6
Day 309 :227207.64
Day 310 :231751.8
Day 311 :236386.83
Day 312 :241114.56
Day 313 :245936.86
Day 314 :250855.6
Day 315 :255872.7
Day 316 :260990.16
Day 317 :266209.97
Day 318 :271534.16
Day 319 :276964.84
Day 320 :282504.12
Day 321 :288154.22
Day 322 :293917.3
Day 323 :299795.66
Day 324 :305791.56
Day 325 :311907.4
Day 326 :318145.56
Day 327 :324508.47
Day 328 :330998.62
Day 329 :337618.6
Day 330 :344370.97
Day 331 :351258.38
Day 332 :358283.53
Day 333 :365449.2
Day 334 :372758.16
Day 335 :380213.3
Day 337 :395573.94
Day 338 :403485.4
Day 339 :411555.12
Day 340 :419786.22
Day 341 :428181.94
Day 342 :436745.56
Day 343 :445480.47
Day 344 :454390.06
Day 345 :463477.88
Day 346 :472747.44
Day 347 :482202.38
Day 348 :491846.44
Day 349 :501683.38
Day 350 :511717.03
Day 351 :521951.38
Day 352 :532390.4
Day 353 :543038.2
Day 354 :553898.94
Day 355 :564976.94
Day 356 :576276.5
Day 357 :587802.0
Day 358 :599558.06
Day 359 :611549.25
Day 360 :623780.25
Day 361 :636255.9
Day 362 :648981.0
Day 363 :661960.6
Day 364 :675199.8
Day 365 :688703.8

The future value after 365 days is: 688703.81
